T,TM,Tm,H,PP,VV,V,VM,NH3
36.3,46,28.7,38,0,4.5,12,18.3,1.6
36.3,46,28.7,38,0,4.5,12,18.3,1.6
34.7,43,29,49,0,4.5,15,27.8,1.6
34.7,43,29,49,0,4.5,15,27.8,1.6
32.8,40.4,27,56,1.015,4.2,13,29.4,1.6
32.8,40.4,27,56,1.015,4.2,13,29.4,1.6
33.6,41,26.5,48,2.03,3.5,12,31.7,1.6
33.6,41,26.5,48,2.03,3.5,12,31.7,1.6
37.6,46,30.5,33,0,4.2,11.7,50,1.6
37.6,46,30.5,33,0,4.2,11.7,50,1.6
33.4,38,30,57,0,4,10.6,22.2,1.6
33.4,38,30,57,0,4,10.6,22.2,1.6
32.3,40,29,61,0,4.5,12.2,24.1,1.6
32.3,40,29,61,0,4.5,12.2,24.1,1.6
32.4,39.3,28,64,0,4.3,13.5,29.4,1.6
32.4,39.3,28,64,0,4.3,13.5,29.4,1.6
32.1,40,27.2,64,0,4.2,14.3,27.8,1.6
32.1,40,27.2,64,0,4.2,14.3,27.8,1.6
32.3,40,27.6,62,0.25,4.2,12,24.1,1.6
32.3,40,27.6,62,0.25,4.2,12,24.1,1.6
32.7,37,28,63,0,4,8.1,14.8,1.6
32.7,37,28,63,0,4,8.1,14.8,1.6
32.8,39,27.2,60,0,4.3,10,18.3,1.6
32.8,39,27.2,60,0,4.3,10,18.3,1.6
33.4,39,27.7,61,0,4.7,11.3,18.3,1.6
33.4,39,27.7,61,0,4.7,11.3,18.3,1.6
30.1,35,25.3,78,130.05,3.7,14.8,22.2,1.6
30.1,35,25.3,78,130.05,3.7,14.8,22.2,1.6
31.2,36.5,27.1,73,0,3.5,17.2,25.9,1.6
31.2,36.5,27.1,73,0,3.5,17.2,25.9,1.6
31.4,36.8,26.9,70,0,3.7,15.6,29.4,1.6
31.4,36.8,26.9,70,0,3.7,15.6,29.4,1.6
31.8,37.4,27.5,63,0,4.3,13.9,27.8,1.6
31.8,37.4,27.5,63,0,4.3,13.9,27.8,1.6
32.1,38,27.7,61,0,4.7,16.9,24.1,1.6
32.1,38,27.7,61,0,4.7,16.9,24.1,1.6
31.8,38,27.5,63,0,4.7,15.4,25.9,1.6
31.8,38,27.5,63,0,4.7,15.4,25.9,1.6
30.9,36.4,28,66,0,4.3,14.1,24.1,1.6
30.9,36.4,28,66,0,4.3,14.1,24.1,1.6
31,35,28,68,2.03,4.3,11.9,18.3,1.6
31,35,28,68,2.03,4.3,11.9,18.3,1.6
32.2,37,27.7,59,0,4.7,16.5,22.2,1.6
32.2,37,27.7,59,0,4.7,16.5,22.2,1.6
33.6,38,28.8,58,0,4.5,11.5,16.5,1.6
33.6,38,28.8,58,0,4.5,11.5,16.5,1.6
33.3,38,29,57,0,4.7,12.8,20.6,1.6
33.3,38,29,57,0,4.7,12.8,20.6,1.6
32.4,37.9,28,60,0,4.5,15.9,25.9,1.6
32.4,37.9,28,60,0,4.5,15.9,25.9,1.6
31.5,34,28.8,63,0,4.5,13.3,22.2,1.6
31.5,34,28.8,63,0,4.5,13.3,22.2,1.6
30.4,33,28,69,0,4.2,10,18.3,1.6
30.4,33,28,69,0,4.2,10,18.3,1.6
29.6,35.4,27,79,6.1,3.5,5,13,1.6
29.6,35.4,27,79,6.1,3.5,5,13,1.6
28.4,31.6,26,81,7.87,3.4,12.8,22.2,1.6
28.4,31.6,26,81,7.87,3.4,12.8,22.2,1.6
25.9,29,24,92,23.11,2.3,13.9,25.9,1.6
25.9,29,24,92,23.11,2.3,13.9,25.9,1.6
24.6,27,23,95,71.88,2.4,15.7,27.8,1.6
24.6,27,23,95,71.88,2.4,15.7,27.8,1.6
28.6,33,25.8,75,0.25,4.7,14.3,22.2,1.6
28.6,33,25.8,75,0.25,4.7,14.3,22.2,1.6
29.3,32.3,26.2,73,0,4.7,14.3,24.1,1.6
29.3,32.3,26.2,73,0,4.7,14.3,24.1,1.6
28.8,32.2,26.3,75,0,4.3,12.2,24.1,1.6
28.8,32.2,26.3,75,0,4.3,12.2,24.1,1.6
29.8,34,25.8,69,0,4.5,12.4,20.6,1.6
29.8,34,25.8,69,0,4.5,12.4,20.6,1.6
30.3,34.6,26.5,70,0,4,5.6,7.6,1.6
30.3,34.6,26.5,70,0,4,5.6,7.6,1.6
