T,TM,Tm,H,PP,VV,V,VM,NOx
37.6,46,30.5,33,0,4.2,11.7,50,21.11
37.6,46,30.5,33,0,4.2,11.7,50,21.25
33.4,38,30,57,0,4,10.6,22.2,19.23
33.4,38,30,57,0,4,10.6,22.2,17.76
32.3,40,29,61,0,4.5,12.2,24.1,19.06
32.3,40,29,61,0,4.5,12.2,24.1,18.62
32.4,39.3,28,64,0,4.3,13.5,29.4,17.44
32.4,39.3,28,64,0,4.3,13.5,29.4,18.36
32.1,40,27.2,64,0,4.2,14.3,27.8,21.36
32.1,40,27.2,64,0,4.2,14.3,27.8,18.98
32.3,40,27.6,62,0.25,4.2,12,24.1,17.59
32.3,40,27.6,62,0.25,4.2,12,24.1,20.74
32.7,37,28,63,0,4,8.1,14.8,22.64
32.7,37,28,63,0,4,8.1,14.8,20.36
32.8,39,27.2,60,0,4.3,10,18.3,21.5
32.8,39,27.2,60,0,4.3,10,18.3,19.23
33.4,39,27.7,61,0,4.7,11.3,18.3,17.57
33.4,39,27.7,61,0,4.7,11.3,18.3,17.56
30.1,35,25.3,78,130.05,3.7,14.8,22.2,21.28
30.1,35,25.3,78,130.05,3.7,14.8,22.2,20.82
31.2,36.5,27.1,73,0,3.5,17.2,25.9,18.35
31.2,36.5,27.1,73,0,3.5,17.2,25.9,11.64
31.4,36.8,26.9,70,0,3.7,15.6,29.4,11.66
31.4,36.8,26.9,70,0,3.7,15.6,29.4,11.65
31.8,37.4,27.5,63,0,4.3,13.9,27.8,11.64
31.8,37.4,27.5,63,0,4.3,13.9,27.8,11.53
32.1,38,27.7,61,0,4.7,16.9,24.1,11.16
32.1,38,27.7,61,0,4.7,16.9,24.1,10.67
31.8,38,27.5,63,0,4.7,15.4,25.9,8.57
31.8,38,27.5,63,0,4.7,15.4,25.9,8.51
30.9,36.4,28,66,0,4.3,14.1,24.1,8.55
30.9,36.4,28,66,0,4.3,14.1,24.1,8.56
31,35,28,68,2.03,4.3,11.9,18.3,8.49
31,35,28,68,2.03,4.3,11.9,18.3,8.43
32.2,37,27.7,59,0,4.7,16.5,22.2,8.42
32.2,37,27.7,59,0,4.7,16.5,22.2,7.88
33.6,38,28.8,58,0,4.5,11.5,16.5,7.77
33.6,38,28.8,58,0,4.5,11.5,16.5,7.97
33.3,38,29,57,0,4.7,12.8,20.6,8.16
33.3,38,29,57,0,4.7,12.8,20.6,9.74
32.4,37.9,28,60,0,4.5,15.9,25.9,17.15
32.4,37.9,28,60,0,4.5,15.9,25.9,16.64
31.5,34,28.8,63,0,4.5,13.3,22.2,17.58
31.5,34,28.8,63,0,4.5,13.3,22.2,17.39
30.4,33,28,69,0,4.2,10,18.3,17.26
30.4,33,28,69,0,4.2,10,18.3,17.42
29.6,35.4,27,79,6.1,3.5,5,13,17.07
29.6,35.4,27,79,6.1,3.5,5,13,27.21
28.4,31.6,26,81,7.87,3.4,12.8,22.2,27.41
28.4,31.6,26,81,7.87,3.4,12.8,22.2,27.57
25.9,29,24,92,23.11,2.3,13.9,25.9,27.45
25.9,29,24,92,23.11,2.3,13.9,25.9,27.42
24.6,27,23,95,71.88,2.4,15.7,27.8,27.5
24.6,27,23,95,71.88,2.4,15.7,27.8,27.55
28.6,33,25.8,75,0.25,4.7,14.3,22.2,27.71
28.6,33,25.8,75,0.25,4.7,14.3,22.2,27.68
29.3,32.3,26.2,73,0,4.7,14.3,24.1,27.55
29.3,32.3,26.2,73,0,4.7,14.3,24.1,27.51
28.8,32.2,26.3,75,0,4.3,12.2,24.1,27.57
28.8,32.2,26.3,75,0,4.3,12.2,24.1,27.58
29.8,34,25.8,69,0,4.5,12.4,20.6,27.51
29.8,34,25.8,69,0,4.5,12.4,20.6,27.45
30.3,34.6,26.5,70,0,4,5.6,7.6,27.57
30.3,34.6,26.5,70,0,4,5.6,7.6,30.02
30.8,35,26.5,70,0,3.9,7.8,14.8,32.15
30.8,35,26.5,70,0,3.9,7.8,14.8,32.06
30.4,35,27,72,0,4.2,9.3,14.8,31.99
30.4,35,27,72,0,4.2,9.3,14.8,31.98
27.4,30.1,25.6,86,1.02,3.7,5.4,13,31.93
27.4,30.1,25.6,86,1.02,3.7,5.4,13,31.9
28.3,33,25.5,83,0,3.4,5.2,11.1,31.85
28.3,33,25.5,83,0,3.4,5.2,11.1,31.96
29.6,35.4,25.5,80,4.06,4,9.6,18.3,31.81
29.6,35.4,25.5,80,4.06,4,9.6,18.3,31.88
30.2,35,25.4,70,9.91,4.3,11.3,20.6,31.91
30.2,35,25.4,70,9.91,4.3,11.3,20.6,31.85
29.4,33.4,25.7,73,0,4.5,14.6,20.6,31.83
29.4,33.4,25.7,73,0,4.5,14.6,20.6,31.89
30.7,36,26,65,0,4.5,14.8,22.2,31.84
30.7,36,26,65,0,4.5,14.8,22.2,31.78
30.6,35,26.2,70,0,4.7,10,16.5,31.84
30.6,35,26.2,70,0,4.7,10,16.5,31.82
31.1,35,26.6,68,0,4.5,9.1,16.5,31.85
31.1,35,26.6,68,0,4.5,9.1,16.5,67.22
31.3,35.9,26,67,0,4.7,9.4,18.3,21.77
31.3,35.9,26,67,0,4.7,9.4,18.3,24.1
30.4,35,27,71,0,4.5,9.1,16.5,18.61
30.4,35,27,71,0,4.5,9.1,16.5,16.78
30.7,36,26.4,65,0,4.3,11.1,22.2,19.78
30.7,36,26.4,65,0,4.3,11.1,22.2,18.07
30.3,35,26,63,0,4.3,8.7,14.8,16.55
30.3,35,26,63,0,4.3,8.7,14.8,16.2
30.3,35,24.4,61,0,4.3,7.2,13,20.56
30.3,35,24.4,61,0,4.3,7.2,13,19.44
30.7,37,25.6,61,0,4.7,8.9,14.8,18.988
30.7,37,25.6,61,0,4.7,8.9,14.8,22.19
30.3,36,27,66,0,4.7,5.9,18.3,18.89
30.3,36,27,66,0,4.7,5.9,18.3,20.23
31,35.5,26,64,0,4.7,4.4,11.1,19.74
31,35.5,26,64,0,4.7,4.4,11.1,28.44
31.6,38,26.4,63,0,4.5,11.3,18.3,22.68
31.6,38,26.4,63,0,4.5,11.3,18.3,25.44
32.2,38,26.5,64,0,4.5,10.9,16.5,37.81
32.2,38,26.5,64,0,4.5,10.9,16.5,40.93
31.9,37,26.4,62,0,4.5,11.1,18.3,41.26
31.9,37,26.4,62,0,4.5,11.1,18.3,52.67
27.4,32,24,86,57.91,3.9,11.3,20.6,71.17
27.4,32,24,86,57.91,3.9,11.3,20.6,39.52
25,26,23,95,2.03,2.3,8.3,13,29.34
25,26,23,95,2.03,2.3,8.3,13,50.39
27,31,24.5,91,8.89,2.9,11.7,16.5,47.93
27,31,24.5,91,8.89,2.9,11.7,16.5,50.71
28.8,34,24,66,0,4.8,9.3,14.8,64.11
28.8,34,24,66,0,4.8,9.3,14.8,50.77
28.7,34.1,23.5,68,0,5,9.3,16.5,34.64
28.7,34.1,23.5,68,0,5,9.3,16.5,28.63
29.4,34.3,24.4,67,0,4.8,5.7,13,44.01
29.4,34.3,24.4,67,0,4.8,5.7,13,53.18
30.7,38,23,52,0,4.3,4.6,11.1,43.85
30.7,38,23,52,0,4.3,4.6,11.1,49.9
31.1,38,23,54,0,4.3,5.4,11.1,48.92
31.1,38,23,54,0,4.3,5.4,11.1,55.33
31.8,39,25,63,0,3.9,7.2,16.5,91.75
31.8,39,25,63,0,3.9,7.2,16.5,48.6
32.3,40,24,48,0,4.7,5.4,14.8,59.66
32.3,40,24,48,0,4.7,5.4,14.8,43.57
31.7,40,24,47,0,4.3,3.7,14.8,28.61
31.7,40,24,47,0,4.3,3.7,14.8,39.51
32.3,40,23,46,0,4.3,5.4,13,66.43
32.3,40,23,46,0,4.3,5.4,13,73.74
31.9,39,24.5,53,0,4.2,3.9,9.4,201
31.9,39,24.5,53,0,4.2,3.9,9.4,78.39
30.9,40,24,52,0,4.5,3.5,11.1,31.18
30.9,40,24,52,0,4.5,3.5,11.1,23.04
30.5,40,24,50,0,4.3,3.9,11.1,20.64
30.5,40,24,50,0,4.3,3.9,11.1,13.32
31.3,40,23,49,0,4.2,1.3,5.4,41.56
31.3,40,23,49,0,4.2,1.3,5.4,119.62
31.1,39,22.3,51,0,4.5,3.5,13,69.93
31.1,39,22.3,51,0,4.5,3.5,13,99.57
30.3,39,23.4,55,0,4.2,1.9,7.6,60.37
30.3,39,23.4,55,0,4.2,1.9,7.6,89.72
27.4,38,21,53,0,4.2,2.2,9.4,38.43
27.4,38,21,53,0,4.2,2.2,9.4,38.64
27.7,38,20.9,55,0,4,2.2,11.1,69.73
27.7,38,20.9,55,0,4,2.2,11.1,69.73
28.6,37,20,44,0,4.5,6.3,22.2,69.73
28.6,37,20,44,0,4.5,6.3,22.2,69.73
24.9,32,19.8,50,0,4.8,10.9,16.5,69.73
24.9,32,19.8,50,0,4.8,10.9,16.5,69.73
26.7,34,19.9,55,0,4.3,6.5,18.3,69.73
26.7,34,19.9,55,0,4.3,6.5,18.3,69.73
27.9,36,21,52,0,4.5,5,13,69.73
27.9,36,21,52,0,4.5,5,13,69.73
28.2,36,21,50,0,4.5,3.5,11.1,69.73
28.2,36,21,50,0,4.5,3.5,11.1,69.73
27.1,36,19.3,44,0,4.3,4.4,14.8,69.73
27.1,36,19.3,44,0,4.3,4.4,14.8,69.73
25.4,35,17,44,0,3.9,3.1,9.4,69.73
25.4,35,17,44,0,3.9,3.1,9.4,69.73
26.7,36,11.5,49,0,4,2,7.6,69.73
26.7,36,11.5,49,0,4,2,7.6,69.73
27.5,38,19.8,49,0,4.3,2.4,9.4,69.73
27.5,38,19.8,49,0,4.3,2.4,9.4,69.73
27.5,37,17,42,0,4.3,3.7,9.4,69.73
27.5,37,17,42,0,4.3,3.7,9.4,69.73
26.7,36,16.8,50,0,4.3,4.1,9.4,69.73
26.7,36,16.8,50,0,4.3,4.1,9.4,69.73
23.8,33.3,18,42,0,4.3,7.8,14.8,69.73
23.8,33.3,18,42,0,4.3,7.8,14.8,69.73
24.8,34,17.8,39,0,4.5,7,13,69.73
24.8,34,17.8,39,0,4.5,7,13,69.73
26.7,34,18.9,38,0,4.5,7.4,14.8,69.73
26.7,34,18.9,38,0,4.5,7.4,14.8,69.73
27.6,34,21,47,0,3.5,5.6,14.8,69.73
27.6,34,21,47,0,3.5,5.6,14.8,69.73
25.8,34,17,40,0,4,7,14.8,69.73
25.8,34,17,40,0,4,7,14.8,69.73
20.5,29,13,35,0,4.5,5,14.8,69.73
20.5,29,13,35,0,4.5,5,14.8,69.73
24,34,16,48,0,4.2,4.6,13,69.73
24,34,16,48,0,4.2,4.6,13,69.73
21.8,32,15,42,0,4.2,6.3,14.8,69.73
21.8,32,15,42,0,4.2,6.3,14.8,69.73
21.5,31,13,41,0,4.3,6.3,18.3,69.73
21.5,31,13,41,0,4.3,6.3,18.3,69.73
23.4,35,14,46,0,4.3,4.1,11.1,69.73
23.4,35,14,46,0,4.3,4.1,11.1,69.73
24,34,16,41,0,4.3,4.4,11.1,69.73
