T,TM,Tm,H,PP,VV,V,VM,NO
33.6,38,28.8,58,0,4.5,11.5,16.5,0.06
33.6,38,28.8,58,0,4.5,11.5,16.5,0.14
33.3,38,29,57,0,4.7,12.8,20.6,0.18
33.3,38,29,57,0,4.7,12.8,20.6,1.52
32.4,37.9,28,60,0,4.5,15.9,25.9,5.89
32.4,37.9,28,60,0,4.5,15.9,25.9,5.75
31.5,34,28.8,63,0,4.5,13.3,22.2,7.01
31.5,34,28.8,63,0,4.5,13.3,22.2,6.92
30.4,33,28,69,0,4.2,10,18.3,6.74
30.4,33,28,69,0,4.2,10,18.3,6.91
29.6,35.4,27,79,6.1,3.5,5,13,7.21
29.6,35.4,27,79,6.1,3.5,5,13,6.69
28.4,31.6,26,81,7.87,3.4,12.8,22.2,6.99
28.4,31.6,26,81,7.87,3.4,12.8,22.2,7.17
25.9,29,24,92,23.11,2.3,13.9,25.9,7.14
25.9,29,24,92,23.11,2.3,13.9,25.9,7.22
24.6,27,23,95,71.88,2.4,15.7,27.8,7.4
24.6,27,23,95,71.88,2.4,15.7,27.8,7.35
28.6,33,25.8,75,0.25,4.7,14.3,22.2,7.48
28.6,33,25.8,75,0.25,4.7,14.3,22.2,7.47
29.3,32.3,26.2,73,0,4.7,14.3,24.1,7.49
29.3,32.3,26.2,73,0,4.7,14.3,24.1,7.57
28.8,32.2,26.3,75,0,4.3,12.2,24.1,7.3
28.8,32.2,26.3,75,0,4.3,12.2,24.1,7.35
29.8,34,25.8,69,0,4.5,12.4,20.6,7.41
29.8,34,25.8,69,0,4.5,12.4,20.6,7.31
30.3,34.6,26.5,70,0,4,5.6,7.6,7.41
30.3,34.6,26.5,70,0,4,5.6,7.6,12.38
30.8,35,26.5,70,0,3.9,7.8,14.8,17.31
30.8,35,26.5,70,0,3.9,7.8,14.8,17.24
30.4,35,27,72,0,4.2,9.3,14.8,17.17
30.4,35,27,72,0,4.2,9.3,14.8,17.12
27.4,30.1,25.6,86,1.02,3.7,5.4,13,17.08
27.4,30.1,25.6,86,1.02,3.7,5.4,13,17.11
28.3,33,25.5,83,0,3.4,5.2,11.1,17.01
28.3,33,25.5,83,0,3.4,5.2,11.1,17.07
29.6,35.4,25.5,80,4.06,4,9.6,18.3,16.98
29.6,35.4,25.5,80,4.06,4,9.6,18.3,17.04
30.2,35,25.4,70,9.91,4.3,11.3,20.6,17.05
30.2,35,25.4,70,9.91,4.3,11.3,20.6,17.03
29.4,33.4,25.7,73,0,4.5,14.6,20.6,17.01
29.4,33.4,25.7,73,0,4.5,14.6,20.6,17.04
30.7,36,26,65,0,4.5,14.8,22.2,16.97
30.7,36,26,65,0,4.5,14.8,22.2,16.97
30.6,35,26.2,70,0,4.7,10,16.5,16.95
30.6,35,26.2,70,0,4.7,10,16.5,16.94
31.1,35,26.6,68,0,4.5,9.1,16.5,17
31.1,35,26.6,68,0,4.5,9.1,16.5,16.31
31.3,35.9,26,67,0,4.7,9.4,18.3,9.46
31.3,35.9,26,67,0,4.7,9.4,18.3,8.68
30.4,35,27,71,0,4.5,9.1,16.5,7.14
30.4,35,27,71,0,4.5,9.1,16.5,6.82
30.7,36,26.4,65,0,4.3,11.1,22.2,8.43
30.7,36,26.4,65,0,4.3,11.1,22.2,7.14
30.3,35,26,63,0,4.3,8.7,14.8,6.61
30.3,35,26,63,0,4.3,8.7,14.8,6.5
30.3,35,24.4,61,0,4.3,7.2,13,7.68
30.3,35,24.4,61,0,4.3,7.2,13,8.45
30.7,37,25.6,61,0,4.7,8.9,14.8,7.838
30.7,37,25.6,61,0,4.7,8.9,14.8,9.95
30.3,36,27,66,0,4.7,5.9,18.3,9.21
30.3,36,27,66,0,4.7,5.9,18.3,10.61
31,35.5,26,64,0,4.7,4.4,11.1,9.26
31,35.5,26,64,0,4.7,4.4,11.1,8.69
31.6,38,26.4,63,0,4.5,11.3,18.3,9.05
31.6,38,26.4,63,0,4.5,11.3,18.3,11.26
32.2,38,26.5,64,0,4.5,10.9,16.5,16.31
32.2,38,26.5,64,0,4.5,10.9,16.5,10.33
31.9,37,26.4,62,0,4.5,11.1,18.3,8.85
31.9,37,26.4,62,0,4.5,11.1,18.3,17.96
27.4,32,24,86,57.91,3.9,11.3,20.6,33.31
27.4,32,24,86,57.91,3.9,11.3,20.6,11.14
25,26,23,95,2.03,2.3,8.3,13,7.83
25,26,23,95,2.03,2.3,8.3,13,20.16
27,31,24.5,91,8.89,2.9,11.7,16.5,15.83
27,31,24.5,91,8.89,2.9,11.7,16.5,18.21
28.8,34,24,66,0,4.8,9.3,14.8,27.14
28.8,34,24,66,0,4.8,9.3,14.8,15.9
28.7,34.1,23.5,68,0,5,9.3,16.5,5.42
28.7,34.1,23.5,68,0,5,9.3,16.5,5.19
29.4,34.3,24.4,67,0,4.8,5.7,13,10.38
29.4,34.3,24.4,67,0,4.8,5.7,13,20.2
30.7,38,23,52,0,4.3,4.6,11.1,18.12
30.7,38,23,52,0,4.3,4.6,11.1,17.03
31.1,38,23,54,0,4.3,5.4,11.1,17.72
31.1,38,23,54,0,4.3,5.4,11.1,20.61
31.8,39,25,63,0,3.9,7.2,16.5,52.33
31.8,39,25,63,0,3.9,7.2,16.5,15.49
32.3,40,24,48,0,4.7,5.4,14.8,23.03
32.3,40,24,48,0,4.7,5.4,14.8,12.92
31.7,40,24,47,0,4.3,3.7,14.8,4.79
31.7,40,24,47,0,4.3,3.7,14.8,10.58
32.3,40,23,46,0,4.3,5.4,13,32.27
32.3,40,23,46,0,4.3,5.4,13,34.64
31.9,39,24.5,53,0,4.2,3.9,9.4,145.32
31.9,39,24.5,53,0,4.2,3.9,9.4,38.09
30.9,40,24,52,0,4.5,3.5,11.1,5.42
30.9,40,24,52,0,4.5,3.5,11.1,1.89
30.5,40,24,50,0,4.3,3.9,11.1,2.31
30.5,40,24,50,0,4.3,3.9,11.1,1.22
31.3,40,23,49,0,4.2,1.3,5.4,17.252
31.3,40,23,49,0,4.2,1.3,5.4,75.42
31.1,39,22.3,51,0,4.5,3.5,13,33.06
31.1,39,22.3,51,0,4.5,3.5,13,57.37
30.3,39,23.4,55,0,4.2,1.9,7.6,28.41
30.3,39,23.4,55,0,4.2,1.9,7.6,39.61
27.4,38,21,53,0,4.2,2.2,9.4,9.39
27.4,38,21,53,0,4.2,2.2,9.4,6.74
27.7,38,20.9,55,0,4,2.2,11.1,33.4065
27.7,38,20.9,55,0,4,2.2,11.1,33.4065
28.6,37,20,44,0,4.5,6.3,22.2,33.4065
28.6,37,20,44,0,4.5,6.3,22.2,33.4065
24.9,32,19.8,50,0,4.8,10.9,16.5,33.4065
24.9,32,19.8,50,0,4.8,10.9,16.5,33.4065
