T,TM,Tm,H,PP,VV,V,VM,O3
35.6,45,28.7,50,0,4.7,12.4,22.2,8.07
35.6,45,28.7,50,0,4.7,12.4,22.2,6.69
36.3,46,28.7,38,0,4.5,12,18.3,3.82
36.3,46,28.7,38,0,4.5,12,18.3,5.17
34.7,43,29,49,0,4.5,15,27.8,7.56
34.7,43,29,49,0,4.5,15,27.8,2.94
32.8,40.4,27,56,1.015,4.2,13,29.4,4.63
32.8,40.4,27,56,1.015,4.2,13,29.4,4.5
33.6,41,26.5,48,2.03,3.5,12,31.7,4.6
33.6,41,26.5,48,2.03,3.5,12,31.7,12.17
37.6,46,30.5,33,0,4.2,11.7,50,12.22
37.6,46,30.5,33,0,4.2,11.7,50,11.85
33.4,38,30,57,0,4,10.6,22.2,12.64
33.4,38,30,57,0,4,10.6,22.2,12.7
32.3,40,29,61,0,4.5,12.2,24.1,10.57
32.3,40,29,61,0,4.5,12.2,24.1,7.38
32.4,39.3,28,64,0,4.3,13.5,29.4,5.47
32.4,39.3,28,64,0,4.3,13.5,29.4,3.06
32.1,40,27.2,64,0,4.2,14.3,27.8,4.96
32.1,40,27.2,64,0,4.2,14.3,27.8,6.44
32.3,40,27.6,62,0.25,4.2,12,24.1,7.28
32.3,40,27.6,62,0.25,4.2,12,24.1,5.99
32.7,37,28,63,0,4,8.1,14.8,6.31
32.7,37,28,63,0,4,8.1,14.8,6.38
32.8,39,27.2,60,0,4.3,10,18.3,6.61
32.8,39,27.2,60,0,4.3,10,18.3,6.42
33.4,39,27.7,61,0,4.7,11.3,18.3,7.6
33.4,39,27.7,61,0,4.7,11.3,18.3,7.08
30.1,35,25.3,78,130.05,3.7,14.8,22.2,5.78
30.1,35,25.3,78,130.05,3.7,14.8,22.2,4.44
31.2,36.5,27.1,73,0,3.5,17.2,25.9,3.24
31.2,36.5,27.1,73,0,3.5,17.2,25.9,5.76
31.4,36.8,26.9,70,0,3.7,15.6,29.4,6.55
31.4,36.8,26.9,70,0,3.7,15.6,29.4,7.27
31.8,37.4,27.5,63,0,4.3,13.9,27.8,6.53
31.8,37.4,27.5,63,0,4.3,13.9,27.8,4.67
32.1,38,27.7,61,0,4.7,16.9,24.1,5.46
32.1,38,27.7,61,0,4.7,16.9,24.1,5.76
31.8,38,27.5,63,0,4.7,15.4,25.9,8.02
31.8,38,27.5,63,0,4.7,15.4,25.9,6.2
30.9,36.4,28,66,0,4.3,14.1,24.1,7.97
30.9,36.4,28,66,0,4.3,14.1,24.1,10.18
31,35,28,68,2.03,4.3,11.9,18.3,7.44
31,35,28,68,2.03,4.3,11.9,18.3,6.3
32.2,37,27.7,59,0,4.7,16.5,22.2,2.6
32.2,37,27.7,59,0,4.7,16.5,22.2,4.87
33.6,38,28.8,58,0,4.5,11.5,16.5,5.08
33.6,38,28.8,58,0,4.5,11.5,16.5,5.34
33.3,38,29,57,0,4.7,12.8,20.6,2.79
33.3,38,29,57,0,4.7,12.8,20.6,4.61
32.4,37.9,28,60,0,4.5,15.9,25.9,4.4
32.4,37.9,28,60,0,4.5,15.9,25.9,3.67
31.5,34,28.8,63,0,4.5,13.3,22.2,3.53
31.5,34,28.8,63,0,4.5,13.3,22.2,3.38
30.4,33,28,69,0,4.2,10,18.3,3.57
30.4,33,28,69,0,4.2,10,18.3,3.69
29.6,35.4,27,79,6.1,3.5,5,13,6.08
29.6,35.4,27,79,6.1,3.5,5,13,7.65
28.4,31.6,26,81,7.87,3.4,12.8,22.2,7.9
28.4,31.6,26,81,7.87,3.4,12.8,22.2,9.86
25.9,29,24,92,23.11,2.3,13.9,25.9,12.78
25.9,29,24,92,23.11,2.3,13.9,25.9,7.94
24.6,27,23,95,71.88,2.4,15.7,27.8,8.39
24.6,27,23,95,71.88,2.4,15.7,27.8,6.28
28.6,33,25.8,75,0.25,4.7,14.3,22.2,21.51
28.6,33,25.8,75,0.25,4.7,14.3,22.2,19.8
29.3,32.3,26.2,73,0,4.7,14.3,24.1,22.77
29.3,32.3,26.2,73,0,4.7,14.3,24.1,30.21
28.8,32.2,26.3,75,0,4.3,12.2,24.1,32.95
28.8,32.2,26.3,75,0,4.3,12.2,24.1,26.64
29.8,34,25.8,69,0,4.5,12.4,20.6,17.17
29.8,34,25.8,69,0,4.5,12.4,20.6,13.35
30.3,34.6,26.5,70,0,4,5.6,7.6,18.59
