T,TM,Tm,H,PP,VV,V,VM,SO2
30.8,35,26.5,70,0,3.9,7.8,14.8,10.76
30.8,35,26.5,70,0,3.9,7.8,14.8,12.39
30.4,35,27,72,0,4.2,9.3,14.8,11.68
30.4,35,27,72,0,4.2,9.3,14.8,12.96
27.4,30.1,25.6,86,1.02,3.7,5.4,13,4.73
27.4,30.1,25.6,86,1.02,3.7,5.4,13,8.86
28.3,33,25.5,83,0,3.4,5.2,11.1,7.05
28.3,33,25.5,83,0,3.4,5.2,11.1,10.9
29.6,35.4,25.5,80,4.06,4,9.6,18.3,10.02
29.6,35.4,25.5,80,4.06,4,9.6,18.3,4.23
30.2,35,25.4,70,9.91,4.3,11.3,20.6,5.96
30.2,35,25.4,70,9.91,4.3,11.3,20.6,3.69
29.4,33.4,25.7,73,0,4.5,14.6,20.6,6.45
29.4,33.4,25.7,73,0,4.5,14.6,20.6,6.13
30.7,36,26,65,0,4.5,14.8,22.2,8.87
30.7,36,26,65,0,4.5,14.8,22.2,9.89
30.6,35,26.2,70,0,4.7,10,16.5,6.88
30.6,35,26.2,70,0,4.7,10,16.5,8.56
31.1,35,26.6,68,0,4.5,9.1,16.5,15.13
31.1,35,26.6,68,0,4.5,9.1,16.5,8.73
31.3,35.9,26,67,0,4.7,9.4,18.3,11.63
31.3,35.9,26,67,0,4.7,9.4,18.3,8.1
30.4,35,27,71,0,4.5,9.1,16.5,7.92
30.4,35,27,71,0,4.5,9.1,16.5,11.58
30.7,36,26.4,65,0,4.3,11.1,22.2,11.63
30.7,36,26.4,65,0,4.3,11.1,22.2,5.85
30.3,35,26,63,0,4.3,8.7,14.8,8.82
30.3,35,26,63,0,4.3,8.7,14.8,9.2
30.3,35,24.4,61,0,4.3,7.2,13,8.28
30.3,35,24.4,61,0,4.3,7.2,13,12.59
30.7,37,25.6,61,0,4.7,8.9,14.8,9.68
30.7,37,25.6,61,0,4.7,8.9,14.8,9.51
30.3,36,27,66,0,4.7,5.9,18.3,5.98
30.3,36,27,66,0,4.7,5.9,18.3,3.69
31,35.5,26,64,0,4.7,4.4,11.1,7.72
31,35.5,26,64,0,4.7,4.4,11.1,4.83
31.6,38,26.4,63,0,4.5,11.3,18.3,7.47
31.6,38,26.4,63,0,4.5,11.3,18.3,9.6
32.2,38,26.5,64,0,4.5,10.9,16.5,13.73
32.2,38,26.5,64,0,4.5,10.9,16.5,10.96
31.9,37,26.4,62,0,4.5,11.1,18.3,15.63
31.9,37,26.4,62,0,4.5,11.1,18.3,15.44
27.4,32,24,86,57.91,3.9,11.3,20.6,27.32
27.4,32,24,86,57.91,3.9,11.3,20.6,25.59
25,26,23,95,2.03,2.3,8.3,13,6.98
25,26,23,95,2.03,2.3,8.3,13,32.74
27,31,24.5,91,8.89,2.9,11.7,16.5,19.37
27,31,24.5,91,8.89,2.9,11.7,16.5,31.75
28.8,34,24,66,0,4.8,9.3,14.8,24.88
28.8,34,24,66,0,4.8,9.3,14.8,26.35
28.7,34.1,23.5,68,0,5,9.3,16.5,79.47
28.7,34.1,23.5,68,0,5,9.3,16.5,25.44
29.4,34.3,24.4,67,0,4.8,5.7,13,30.06
29.4,34.3,24.4,67,0,4.8,5.7,13,21.89
30.7,38,23,52,0,4.3,4.6,11.1,17.89
30.7,38,23,52,0,4.3,4.6,11.1,22.59
31.1,38,23,54,0,4.3,5.4,11.1,26.09
31.1,38,23,54,0,4.3,5.4,11.1,24.66
31.8,39,25,63,0,3.9,7.2,16.5,39.15
31.8,39,25,63,0,3.9,7.2,16.5,34.03
32.3,40,24,48,0,4.7,5.4,14.8,94.3
32.3,40,24,48,0,4.7,5.4,14.8,42.08
31.7,40,24,47,0,4.3,3.7,14.8,34.4
31.7,40,24,47,0,4.3,3.7,14.8,44.91
32.3,40,23,46,0,4.3,5.4,13,27.73
32.3,40,23,46,0,4.3,5.4,13,46.09
31.9,39,24.5,53,0,4.2,3.9,9.4,20.47
31.9,39,24.5,53,0,4.2,3.9,9.4,22.94
30.9,40,24,52,0,4.5,3.5,11.1,44.92
30.9,40,24,52,0,4.5,3.5,11.1,37.31
30.5,40,24,50,0,4.3,3.9,11.1,19.08
30.5,40,24,50,0,4.3,3.9,11.1,13.73
31.3,40,23,49,0,4.2,1.3,5.4,25.764
31.3,40,23,49,0,4.2,1.3,5.4,13.78
31.1,39,22.3,51,0,4.5,3.5,13,21.24
31.1,39,22.3,51,0,4.5,3.5,13,22.18
30.3,39,23.4,55,0,4.2,1.9,7.6,50.33
30.3,39,23.4,55,0,4.2,1.9,7.6,40.78
27.4,38,21,53,0,4.2,2.2,9.4,29.18
27.4,38,21,53,0,4.2,2.2,9.4,26.94
27.7,38,20.9,55,0,4,2.2,11.1,28.77425
27.7,38,20.9,55,0,4,2.2,11.1,28.77425
28.6,37,20,44,0,4.5,6.3,22.2,28.77425
28.6,37,20,44,0,4.5,6.3,22.2,28.77425
24.9,32,19.8,50,0,4.8,10.9,16.5,28.77425
24.9,32,19.8,50,0,4.8,10.9,16.5,28.77425
26.7,34,19.9,55,0,4.3,6.5,18.3,28.77425
26.7,34,19.9,55,0,4.3,6.5,18.3,28.77425
27.9,36,21,52,0,4.5,5,13,28.77425
27.9,36,21,52,0,4.5,5,13,28.77425
28.2,36,21,50,0,4.5,3.5,11.1,28.77425
28.2,36,21,50,0,4.5,3.5,11.1,28.77425
27.1,36,19.3,44,0,4.3,4.4,14.8,28.77425
