PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature,TM,Tm,Humidity,Precipitation,Visbility,wind_speed,AQI
165.07,134.5612308,23.83,34.48,57.71,1.6,23.83,64.32,43.79,29.8,39,18.5,29,0,4.7,5,585
166.85,134.5612308,17.93,43.3,60.07,1.6,17.93,79.71,53.44,30.2,40,20,32,0,4.7,3.9,616
147.38,134.5612308,6.4,35.82,40.22,1.6,6.4,46.89,17.94,30.2,40,20,32,0,4.7,3.9,437
158.25,134.5612308,5.86,27.89,32.65,1.6,5.86,142.36,38.54,32.8,43,22.3,31,0,4.3,4.4,321
237.76,134.5612308,4.99,21.8,25.37,1.6,4.99,96.28,39.77,32.8,43,22.3,31,0,4.3,4.4,372
133.37,134.5612308,3.88,17.99,21.02,1.6,3.88,57.34,39.66,33.7,43,24.4,32,0,4,3.1,339
133.3,134.5612308,6.52,20,26.18,1.6,6.52,51.58,59.03,33.7,43,24.4,32,0,4,3.1,339
96.04,134.5612308,3.8,20.07,23.46,1.6,3.8,62.42,46.61,34,42,25.9,44,0,3.4,6.1,324
77.69,134.5612308,5.24,18.87,23.06,1.6,5.24,100.48,27.14,34,42,25.9,44,0,3.4,6.1,222
53.07,134.5612308,4.17,13.82,17.45,1.6,4.17,40.36,21.76,29.9,38,21,30,0,4.7,6.7,169
63.11,134.5612308,5.63,15.5,18.49,1.6,5.63,38.21,4.72,29.9,38,21,30,0,4.7,6.7,220
156.76,134.5612308,3.92,16.7,20.97,1.6,3.92,26.32,37.11,30.8,39,22.7,33,0,4.3,9.4,247.6
120.96,134.5612308,4.23,20.86,25.02,1.6,4.23,35.54,35.66,30.8,39,22.7,33,0,4.3,9.4,303
138.63,134.5612308,5.65,25.47,30.67,1.6,5.65,87.43,29.77,31.3,39,23,40,0,4.7,12.8,314
144.36,134.5612308,15.82,30.69,46.1,1.6,15.82,66.39,27.34,31.3,39,23,40,0,4.7,12.8,378
85.03,134.5612308,3.3,26.7,27.41,1.6,3.3,59.16,35.89,30.8,39,24,42,0,4.3,14.6,415
134.6,134.5612308,5.9,26.27,28.7,1.6,5.9,34.53,7,30.8,39,24,42,0,4.3,14.6,281.6
61.06,134.5612308,3.52,14.03,17.59,1.6,3.52,8.08,19.54,31.3,38,24,44,0,3.9,7.6,126
39.42,134.5612308,5.28,19.56,24.66,1.6,5.28,17.66,31.3,31.3,38,24,44,0,3.9,7.6,175
111.86,134.5612308,3.89,22.51,25.17,1.6,3.89,15.84,31.23,31.2,39,24.1,43,0,4,4.6,226
58.37,134.5612308,5.74,21.71,27.69,1.6,5.74,25.9,43.92,31.2,39,24.1,43,0,4,4.6,244
95.37,134.5612308,18.01,26.23,44.34,1.6,18.01,13.59,41.64,33.1,41,26,31,0,4.7,5.4,315
141.3,134.5612308,30.8,36.88,66.53,1.6,30.8,41.06,37.66,33.1,41,26,31,0,4.7,5.4,678
106.68,134.5612308,19.91,46.38,54.77,1.6,19.91,31.56,48.49,27.4,34,20,57,0,4.2,6.1,774
109.48,134.5612308,4.3,20.27,22.86,1.6,4.3,46.6,31.34,27.4,34,20,57,0,4.2,6.1,285
126.04,134.5612308,6.99,20.18,26.78,1.6,6.99,79.56,28.71,29.5,36,22.8,51,0,4.3,5.2,321
71.22,134.5612308,16.73,21.32,37.58,1.6,16.73,50.09,28.39,29.5,36,22.8,51,0,4.3,5.2,358
97.87,134.5612308,6.3,17.96,23.45,1.6,6.3,13.85,34.16,30.3,37,24,48,0,4.5,4.4,357
63.38,134.5612308,3.44,13.28,15.44,1.6,3.44,24.79,43.62,30.3,37,24,48,0,4.5,4.4,189
75.29,134.5612308,3.35,14.29,17.97,1.6,3.35,76.05,60.71,29.9,36.5,23.4,49.5,0,4.4,4.8,287.8
80.9,134.5612308,5.7,18.62,24.23,1.6,5.7,65.44,22.8,29.9,36.5,23.4,49.5,0,4.4,4.8,214
103.29,134.5612308,4.55,19.82,23.69,1.6,4.55,85.42,22.18,30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,253
107.5,134.5612308,5.29,15.56,19.73,1.6,5.29,74.37,10.12,30.23333333,37.25,23.38333333,46.58333333,0,4.35,5.083333333,239
161.14,134.5612308,3.11,14.77,16.12,1.6,3.11,118.35,59.73,33.2,41.9,25.05,42.7,0,4.33,8.89,277.25
102.58,134.5612308,3.88,12.74,16.82,1.6,3.88,41.94,26.89,33.2,41.9,25.05,42.7,0,4.33,8.89,277.25
138.42,134.5612308,5.05,16.7,21.56,1.6,5.05,77.74,27.18,33.2,41.9,25.05,42.7,0,4.33,8.89,300
129.04,134.5612308,5.69,14.86,19.66,1.6,5.69,78.27,18.67,33.2,41.9,25.05,42.7,0,4.33,8.89,317
96.65,134.5612308,4.67,15.9,20.53,1.6,4.67,39.41,11.83,32.6,41,24.9,42.5,0,4.4,8.7,240
126.77,134.5612308,15.69,23.93,39.73,1.6,15.69,93.18,36.71,32.6,41,24.9,42.5,0,4.4,8.7,344
106.15,134.5612308,13.12,23.02,35.05,1.6,13.12,65.95,81.6,32.4,41,25.1,41,0,4.5,8.5,503
86.31,134.5612308,2.69,10.5,10.9,1.6,2.69,50.13,90.54,32.4,41,25.1,41,0,4.5,8.5,308
83.99,134.5612308,2.73,0.08,2.75,1.6,2.73,34.06,69.57,32.8,41,24.7,44,0,4.3,8.9,227
65.11,134.5612308,3.14,4.58,6.75,1.6,3.14,22.27,32.26,32.8,41,24.7,44,0,4.3,8.9,120
